date,mean
2012-01-19,37.119045220725695
2012-01-20,46.526065676106974
2012-01-21,31.945522643163265
2012-01-22,29.85001682403223
2012-01-23,28.641234251003056
2012-01-24,35.75016549460812
2012-01-25,27.573415747834634
2012-01-26,36.091625820123774
2012-01-29,28.986070755419757
2012-01-30,35.9854831081946
2012-01-31,26.089090130182726
2012-02-04,25.38115033913944
2012-02-05,36.23212215117046
2012-02-06,32.35292265484299
2012-02-07,29.629090111661768
2012-02-08,29.612363311211116
2012-02-09,47.122685432115844
2012-02-10,45.72177175391931
2012-02-14,31.668283287697683
2012-02-21,41.4707344054656
2012-02-22,35.57453852727365
2012-02-23,32.342909424069596
2012-02-24,31.405999762004665
2012-02-25,18.114258683644284
2012-02-26,20.486406809266903
2012-02-27,35.48154778187073
2012-02-28,30.727545407669467
2012-02-29,32.12137018251014
2012-03-01,33.251793030819876
2012-03-02,41.60163999326935
2012-03-04,24.052222034234454
2012-03-05,25.173463812992708
2012-03-06,28.714580813538422
2012-03-07,34.98021408678704
2012-03-08,38.90530419743168
2012-03-09,35.2992512721688
2012-03-13,22.5548774750851
2012-03-18,37.85759381180685
2012-03-20,24.071713377410607
2012-03-22,30.42876771599357
2012-03-23,35.247534032928286
2012-03-30,33.21944778404088
2012-03-31,28.457254545360666
2012-04-01,20.373944144622488
2012-04-02,30.56881605678973
2012-04-03,36.13438711179998
2012-04-04,35.821329724724485
2012-04-05,26.386287283005938
2012-04-06,26.940304603644975
2012-04-07,29.40146338681185
2012-04-08,36.22663123356349
2012-04-09,35.75003708292022
2012-04-10,33.460199472110446
2012-04-11,29.134515827761113
2012-04-12,26.264821582706144
2012-04-13,35.449777810841745
2012-04-14,51.10448361858352
2012-04-15,36.54766458385099
2012-04-16,32.200589774605035
2012-04-17,30.84072416164402
2012-04-18,22.4779625888041
2012-04-19,38.01953066582222
2012-04-20,39.0171920150941
2012-04-22,16.79891723765159
2012-04-24,39.429439988967
2012-04-25,33.0732922496579
2012-04-28,31.114894541442222
2012-04-29,33.139775492477035
2012-04-30,38.92911743021138
2012-05-01,10.100000000000001
2012-05-02,27.384168602072467
2012-05-04,29.433309217556616
2012-05-05,39.31263589023269
2012-05-07,30.235544481946594
2012-05-08,25.713311030218275
2012-05-18,30.027736773835205
2012-05-22,16.95581047825749
2012-05-25,29.159421348824644
2012-05-26,34.644120680013984
2012-05-27,32.52520419039483
2012-06-08,23.381119051013407
2012-06-09,14.225963493987832
2012-06-18,35.16469198537516
2012-06-23,29.234395705226706
2012-06-24,31.53063133030455
2012-06-25,18.308869719387676
2012-06-26,25.407606165340678
2012-06-30,15.328309741881622
2012-07-04,20.13242517050589
2012-07-06,26.3242729456193
2012-07-07,28.969765019459622
2012-07-14,30.62342952285157
2012-08-02,20.992883281153656
2012-08-10,23.163183730715424
2012-08-11,25.90943077952346
2012-08-17,17.49138848595615
2012-08-19,31.40566132833564
2012-08-25,27.55542095919881
2012-08-27,28.845365583946993
2012-09-05,28.260536311048966
2012-09-06,27.861904784217504
2012-09-12,29.874980064778676
2012-09-16,33.20652682646164
2012-09-18,27.656061979069822
2012-09-20,24.611448092765663
2012-10-04,33.951419496664364
2012-10-05,32.026792980719485
2012-10-06,26.231484298524997
2012-10-08,27.667990001231423
2012-10-12,32.23856169818868
2012-10-13,30.9245168033533
2012-10-14,26.59499962537394
2012-10-16,15.12670401403896
2012-10-17,26.26529351073991
2012-10-18,39.5630494266109
2012-10-19,32.39017809543634
2012-10-20,17.313251878896853
2012-10-21,28.195266415399754
2012-10-22,35.92834050104795
2012-10-23,39.90368892847406
2012-10-27,33.92999399793516
2012-10-28,34.459980664708326
2012-10-29,36.4571740371804
2012-10-30,30.536751548802542
2012-10-31,30.82176813566948
2012-11-01,31.401770662244317
2012-11-02,36.00029734609333
2012-11-03,36.41974417615935
2012-11-04,31.421717476753862
2012-11-05,29.602147730517324
2012-11-06,31.73778603074805
2012-11-07,34.080261562402384
2012-11-08,26.149250430913217
2012-11-09,28.25353921397336
2012-11-10,31.95622290530987
2012-11-11,25.78351284443245
2012-11-12,29.100907403348685
2012-11-13,23.06652581657296
2012-11-15,33.67676232954928
2012-11-16,32.80882416022706
2012-11-17,31.890665844744042
2012-11-18,24.324001885129633
2012-11-20,35.156536405635215
2012-11-21,33.290585111105955
2012-11-23,35.33429409299528
2012-11-24,39.31040754258399
2012-11-25,34.737991472049714
2012-11-26,31.489506863985802
2012-11-27,34.04999180869214
2012-11-28,34.57000697416125
2012-11-29,43.42397171743409
2012-11-30,36.56663105089154
2012-12-01,33.97583584740801
2012-12-02,29.255511489249354
2012-12-03,31.767199489681023
2012-12-07,18.80007884263344
2012-12-09,34.498880472911225
2012-12-10,44.43907973461222
2012-12-11,41.720377523747544
2012-12-12,19.353466430805312
2012-12-13,30.82332381029648
2012-12-14,40.22336139642223
2012-12-15,48.47355216652846
2012-12-16,38.79088642633314
2012-12-17,36.61544733315893
2012-12-18,35.86513365978601
2012-12-19,30.884498089872142
2012-12-20,42.3478945440467
2012-12-21,52.570879294731874
2012-12-22,37.87839669948474
2012-12-24,50.54098082993167
2012-12-28,31.655858342305287
2012-12-29,28.73037476869089
2012-12-30,31.35572621670924
2012-12-31,50.768129613673445
2013-01-01,36.034082989586516
2013-01-02,20.15244047619017
2013-01-03,18.677695423767545
2013-01-04,29.514098979509733
2013-01-09,30.865058856015118
2013-01-12,27.996181634065856
2013-01-14,31.303534906070407
2013-01-15,25.70787529370776
2013-01-16,43.36101792460072
2013-01-17,25.107202232279416
2013-01-18,26.935113037492073
