date,mean
2012-01-19,21.971253370425924
2012-01-20,28.829777560421174
2012-01-21,19.907287323488546
2012-01-22,18.419685335807763
2012-01-23,18.138899588177495
2012-01-24,22.305712994390248
2012-01-25,16.33231307991599
2012-01-26,23.123942613324903
2012-01-29,18.20792337109562
2012-01-30,22.212970150201418
2012-01-31,18.669379438935696
2012-02-04,15.272858401110602
2012-02-05,26.67117657202189
2012-02-06,23.021568857797828
2012-02-07,21.76331878904092
2012-02-08,18.12612388852641
2012-02-09,29.303585249129057
2012-02-10,33.613907407911455
2012-02-14,21.985338209815968
2012-02-21,25.856517926059226
2012-02-22,21.472884801053162
2012-02-23,19.648615838002616
2012-02-24,19.600893500254823
2012-02-25,12.697950960888246
2012-02-26,15.15589104391648
2012-02-27,24.509354903503528
2012-02-28,22.02544398990007
2012-02-29,19.67733819430839
2012-03-01,20.946319240506348
2012-03-02,29.859652862185314
2012-03-04,22.263444236562364
2012-03-05,18.84092287161616
2012-03-06,11.152172251180435
2012-03-07,24.958310249918515
2012-03-08,28.25233960710727
2012-03-09,25.25533269663529
2012-03-13,16.492156643738582
2012-03-18,27.0096780629607
2012-03-20,17.688448792304527
2012-03-22,20.90876151889124
2012-03-23,22.53399646372139
2012-03-27,1.3196838469048247
2012-03-30,22.1128925915799
2012-03-31,17.942656235041607
2012-04-01,10.410820260552155
2012-04-02,22.25211027032763
2012-04-03,26.122061966426376
2012-04-04,26.496544875500184
2012-04-05,22.16059667879688
2012-04-06,19.40860542769202
2012-04-07,21.46173266749421
2012-04-08,26.055769636726126
2012-04-09,28.31139596239179
2012-04-10,24.05112290651029
2012-04-11,20.818473088594075
2012-04-12,18.63951736880218
2012-04-13,25.298156159103794
2012-04-14,31.181665678851523
2012-04-15,23.366705410358815
2012-04-16,21.057771349076486
2012-04-17,19.43535214184552
2012-04-18,14.41113507182519
2012-04-19,24.52790434508544
2012-04-20,27.44255238351953
2012-04-22,9.830162549001772
2012-04-23,2.759937565036442
2012-04-24,27.63721716832407
2012-04-25,22.964487668959396
2012-04-27,5.712306499623268
2012-04-28,19.369419346705573
2012-04-29,23.167240047129546
2012-04-30,28.47928028157293
2012-05-01,10.79927105064212
2012-05-02,19.061107226573412
2012-05-04,21.289720127930682
2012-05-05,26.53555337849595
2012-05-07,21.641921972030154
2012-05-08,17.708895826766643
2012-05-18,19.307278060498124
2012-05-22,14.354710824093772
2012-05-25,18.77845407666921
2012-05-26,22.594702450252807
2012-05-27,24.563939639627844
2012-05-30,12.918597030678278
2012-06-08,14.580460661584699
2012-06-09,10.962872193335217
2012-06-18,23.918771512201484
2012-06-23,20.179374947845538
2012-06-24,28.267369548927125
2012-06-25,13.616514445545759
2012-06-26,15.691071649562177
2012-06-30,15.328309741881622
2012-07-04,14.352781601925695
2012-07-06,24.47408622662985
2012-07-07,25.56763318322617
2012-07-12,15.393297615306505
2012-07-14,22.4693953716669
2012-08-02,16.34550652084423
2012-08-09,7.425900984353374
2012-08-10,23.163183730715424
2012-08-11,19.7394959916682
2012-08-17,10.903703634599685
2012-08-19,20.874182435351884
2012-08-21,1.0670658806868139
2012-08-25,14.456110552774126
2012-08-27,23.323565064985075
2012-09-05,20.044822448311383
2012-09-06,20.039549173211054
2012-09-08,9.22850287951438
2012-09-12,20.438928073160554
2012-09-16,24.58482370546725
2012-09-18,20.48140127356397
2012-09-20,15.87876915012129
2012-10-01,12.749026931261353
2012-10-04,25.273403201831723
2012-10-05,20.898443976033455
2012-10-06,20.969021235516067
2012-10-07,12.316514451097524
2012-10-08,18.71031671363425
2012-10-12,26.105302954858374
2012-10-13,23.002632808904934
2012-10-14,19.245977833947975
2012-10-16,14.73274790441495
2012-10-17,17.911846392302834
2012-10-18,24.513957745225216
2012-10-19,20.76554226876156
2012-10-20,6.339983901284574
2012-10-21,17.351584331426512
2012-10-22,22.240083700988755
2012-10-23,30.96917489135409
2012-10-27,24.95004099030617
2012-10-28,25.458134707821706
2012-10-29,26.255048974777953
2012-10-30,21.915478660923146
2012-10-31,22.308816340979664
2012-11-01,22.66509502811723
2012-11-02,26.83346737639352
2012-11-03,31.20386437939781
2012-11-04,22.658412214890753
2012-11-05,21.034793034504144
2012-11-06,22.102471600964744
2012-11-07,24.295907641358628
2012-11-08,9.693616770133945
2012-11-09,18.804444625574856
2012-11-10,19.549992908913215
2012-11-11,17.55809778342096
2012-11-12,29.107006726915312
2012-11-13,13.240924430692257
2012-11-15,35.4722412463068
2012-11-16,20.153005191039142
2012-11-17,21.563324794405816
2012-11-18,15.65040535721271
2012-11-19,4.417183335515532
2012-11-20,21.552734628682533
2012-11-21,20.318077953019216
2012-11-23,25.517811174675767
2012-11-24,25.213040701426017
2012-11-25,25.16806511566056
2012-11-26,22.20785532877695
2012-11-27,24.51905491864121
2012-11-28,24.347685382115696
2012-11-29,31.263861908618004
2012-11-30,27.107932292799077
2012-12-01,24.021986488996795
2012-12-02,20.993966242469543
2012-12-03,22.438103975093664
2012-12-07,12.290852817467547
2012-12-09,22.23764646009421
2012-12-10,27.88643182957406
2012-12-11,26.517242013642324
2012-12-12,18.083976203549597
2012-12-13,21.0079889896937
2012-12-14,24.25138700258626
2012-12-15,30.202963135449572
2012-12-16,24.26351525741788
2012-12-17,24.424921044369817
2012-12-18,21.987013296963067
2012-12-19,18.09083102542537
2012-12-20,26.447534365224325
2012-12-21,32.92604365411136
2012-12-22,25.002721708075285
2012-12-24,30.45863209280414
2012-12-28,22.33412701926765
2012-12-29,21.8565864019354
2012-12-30,21.847588800624628
2012-12-31,40.631968782630075
